,count,next,previous,results
0,200,https://cryptopanic.com/api/v1/posts/?auth_token=ee9e0c4210942ca5dd68a3cd58f22dc3610e1985&currencies=BTC&filter=importantformat%3Drss&page=2,,"{'kind': 'news', 'domain': 'ambcrypto.com', 'source': {'title': 'AMBCrypto', 'region': 'en', 'domain': 'ambcrypto.com', 'path': None}, 'title': 'Only Bitcoin, Ethereum will remain in the top-10, says Novogratz', 'published_at': '2020-11-16T17:30:55Z', 'slug': 'Only-Bitcoin-Ethereum-will-remain-in-the-top-10-says-Novogratz', 'currencies': [{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': 'ETH', 'title': 'Ethereum', 'slug': 'ethereum', 'url': 'https://cryptopanic.com/news/ethereum/'}, {'code': 'DOGE', 'title': 'Dogecoin', 'slug': 'dogecoin', 'url': 'https://cryptopanic.com/news/dogecoin/'}], 'id': 10551273, 'url': 'https://cryptopanic.com/news/10551273/Only-Bitcoin-Ethereum-will-remain-in-the-top-10-says-Novogratz', 'created_at': '2020-11-16T17:30:55Z', 'votes': {'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}}"
1,200,https://cryptopanic.com/api/v1/posts/?auth_token=ee9e0c4210942ca5dd68a3cd58f22dc3610e1985&currencies=BTC&filter=importantformat%3Drss&page=2,,"{'kind': 'news', 'domain': 'coindesk.com', 'source': {'title': 'CoinDesk', 'region': 'en', 'domain': 'coindesk.com', 'path': None}, 'title': 'Scaramucci’s $9.2B SkyBridge ‘May Seek Exposure to Digital Assets’', 'published_at': '2020-11-16T17:21:05Z', 'slug': 'Scaramuccis-92B-SkyBridge-May-Seek-Exposure-to-Digital-Assets', 'currencies': [{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}], 'id': 10551165, 'url': 'https://cryptopanic.com/news/10551165/Scaramuccis-92B-SkyBridge-May-Seek-Exposure-to-Digital-Assets', 'created_at': '2020-11-16T17:21:05Z', 'votes': {'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}}"
2,200,https://cryptopanic.com/api/v1/posts/?auth_token=ee9e0c4210942ca5dd68a3cd58f22dc3610e1985&currencies=BTC&filter=importantformat%3Drss&page=2,,"{'kind': 'news', 'domain': 'coindesk.com', 'source': {'title': 'CoinDesk', 'region': 'en', 'domain': 'coindesk.com', 'path': None}, 'title': 'Why Bitcoin Thrives (and Why It Won’t Replace the Dollar)', 'published_at': '2020-11-16T17:12:21Z', 'slug': 'Why-Bitcoin-Thrives-and-Why-It-Wont-Replace-the-Dollar', 'currencies': [{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}], 'id': 10551034, 'url': 'https://cryptopanic.com/news/10551034/Why-Bitcoin-Thrives-and-Why-It-Wont-Replace-the-Dollar', 'created_at': '2020-11-16T17:12:21Z', 'votes': {'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}}"
3,200,https://cryptopanic.com/api/v1/posts/?auth_token=ee9e0c4210942ca5dd68a3cd58f22dc3610e1985&currencies=BTC&filter=importantformat%3Drss&page=2,,"{'kind': 'news', 'domain': 'ambcrypto.com', 'source': {'title': 'AMBCrypto', 'region': 'en', 'domain': 'ambcrypto.com', 'path': None}, 'title': 'China’s bitcoin miners struggle to pay bills due to govt crackdown', 'published_at': '2020-11-16T17:00:52Z', 'slug': 'Chinas-bitcoin-miners-struggle-to-pay-bills-due-to-govt-crackdown', 'currencies': [{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}], 'id': 10550897, 'url': 'https://cryptopanic.com/news/10550897/Chinas-bitcoin-miners-struggle-to-pay-bills-due-to-govt-crackdown', 'created_at': '2020-11-16T17:00:52Z', 'votes': {'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}}"
4,200,https://cryptopanic.com/api/v1/posts/?auth_token=ee9e0c4210942ca5dd68a3cd58f22dc3610e1985&currencies=BTC&filter=importantformat%3Drss&page=2,,"{'kind': 'news', 'domain': 'newsbtc.com', 'source': {'title': 'NewsBTC', 'region': 'en', 'domain': 'newsbtc.com', 'path': None}, 'title': 'This On-Chain Metric Suggests Bitcoin is “Vulnerable” to Seeing Major Downside', 'published_at': '2020-11-16T16:56:43Z', 'slug': 'This-On-Chain-Metric-Suggests-Bitcoin-is-Vulnerable-to-Seeing-Major-Downside', 'currencies': [{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': 'ETH', 'title': 'Ethereum', 'slug': 'ethereum', 'url': 'https://cryptopanic.com/news/ethereum/'}], 'id': 10550823, 'url': 'https://cryptopanic.com/news/10550823/This-On-Chain-Metric-Suggests-Bitcoin-is-Vulnerable-to-Seeing-Major-Downside', 'created_at': '2020-11-16T16:56:43Z', 'votes': {'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}}"
5,200,https://cryptopanic.com/api/v1/posts/?auth_token=ee9e0c4210942ca5dd68a3cd58f22dc3610e1985&currencies=BTC&filter=importantformat%3Drss&page=2,,"{'kind': 'news', 'domain': 'cryptoglobe.com', 'source': {'title': 'CryptoGlobe', 'region': 'en', 'domain': 'cryptoglobe.com', 'path': None}, 'title': 'Bitcoin’s ‘Next Big Resistance’ Is at $1 Trillion Market Cap, Says Bloomberg Analyst', 'published_at': '2020-11-16T16:49:00Z', 'slug': 'Bitcoins-Next-Big-Resistance-Is-at-1-Trillion-Market-Cap-Says-Bloomberg-Analyst', 'currencies': [{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}], 'id': 10550810, 'url': 'https://cryptopanic.com/news/10550810/Bitcoins-Next-Big-Resistance-Is-at-1-Trillion-Market-Cap-Says-Bloomberg-Analyst', 'created_at': '2020-11-16T16:49:00Z', 'votes': {'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}}"
6,200,https://cryptopanic.com/api/v1/posts/?auth_token=ee9e0c4210942ca5dd68a3cd58f22dc3610e1985&currencies=BTC&filter=importantformat%3Drss&page=2,,"{'kind': 'news', 'domain': 'u.today', 'source': {'title': 'U.Today', 'region': 'en', 'domain': 'u.today', 'path': None}, 'title': 'Three Reasons Why Bitcoin Just Surged to 2020 High of $16,600', 'published_at': '2020-11-16T16:45:00Z', 'slug': 'Three-Reasons-Why-Bitcoin-Just-Surged-to-2020-High-of-16600', 'currencies': [{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}], 'id': 10550712, 'url': 'https://cryptopanic.com/news/10550712/Three-Reasons-Why-Bitcoin-Just-Surged-to-2020-High-of-16600', 'created_at': '2020-11-16T16:45:00Z', 'votes': {'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}}"
7,200,https://cryptopanic.com/api/v1/posts/?auth_token=ee9e0c4210942ca5dd68a3cd58f22dc3610e1985&currencies=BTC&filter=importantformat%3Drss&page=2,,"{'kind': 'news', 'domain': '@Bitcoin', 'source': {'title': 'Bitcoin Twitter', 'region': 'en', 'domain': 'twitter.com', 'path': '@bitcoin'}, 'title': 'RT @tyler: CitiBank report predicts #Bitcoin price of 318K by December 2021. Buckle up!', 'published_at': '2020-11-16T16:43:05Z', 'slug': 'RT-tyler-CitiBank-report-predicts-Bitcoin-price-of-318K-by-December-2021-Buckle-up', 'currencies': [{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': 'BCH', 'title': 'Bitcoin Cash', 'slug': 'bitcoin-cash', 'url': 'https://cryptopanic.com/news/bitcoin-cash/'}], 'id': 10550619, 'url': 'https://cryptopanic.com/news/10550619/RT-tyler-CitiBank-report-predicts-Bitcoin-price-of-318K-by-December-2021-Buckle-up', 'created_at': '2020-11-16T16:43:05Z', 'votes': {'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}}"
8,200,https://cryptopanic.com/api/v1/posts/?auth_token=ee9e0c4210942ca5dd68a3cd58f22dc3610e1985&currencies=BTC&filter=importantformat%3Drss&page=2,,"{'kind': 'news', 'domain': '@Bitcoin', 'source': {'title': 'Bitcoin Twitter', 'region': 'en', 'domain': 'twitter.com', 'path': '@bitcoin'}, 'title': '', 'published_at': '2020-11-16T16:42:20Z', 'slug': 'post-10550610', 'currencies': [{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': 'BCH', 'title': 'Bitcoin Cash', 'slug': 'bitcoin-cash', 'url': 'https://cryptopanic.com/news/bitcoin-cash/'}], 'id': 10550610, 'url': 'https://cryptopanic.com/news/10550610/post-10550610', 'created_at': '2020-11-16T16:42:20Z', 'votes': {'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}}"
9,200,https://cryptopanic.com/api/v1/posts/?auth_token=ee9e0c4210942ca5dd68a3cd58f22dc3610e1985&currencies=BTC&filter=importantformat%3Drss&page=2,,"{'kind': 'news', 'domain': '@Bitcoin', 'source': {'title': 'Bitcoin Twitter', 'region': 'en', 'domain': 'twitter.com', 'path': '@bitcoin'}, 'title': ""'The value of the Global Negative-Yielding Debt Index from @business and @Barclays is now at a record level of $17.…"", 'published_at': '2020-11-16T16:40:01Z', 'slug': 'The-value-of-the-Global-Negative-Yielding-Debt-Index-from-business-and-Barclays-is-now-at-a-record-level-of-17', 'currencies': [{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': 'BCH', 'title': 'Bitcoin Cash', 'slug': 'bitcoin-cash', 'url': 'https://cryptopanic.com/news/bitcoin-cash/'}], 'id': 10550582, 'url': 'https://cryptopanic.com/news/10550582/The-value-of-the-Global-Negative-Yielding-Debt-Index-from-business-and-Barclays-is-now-at-a-record-level-of-17', 'created_at': '2020-11-16T16:40:01Z', 'votes': {'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}}"
